link2,redirect_url,status
http://media.ethics.ga.gov/search/Financial/Financial_ByName.aspx,http://media.ethics.ga.gov/search/Financial/Financial_ByName.aspx,Success: (200) OK
http://www.atlantaga.gov/index.aspx?page%3D204,http://www.atlantaga.gov/index.aspx?page%3D204,Client error: (404) Not Found
http://www.atlantaga.gov/index.aspx?page%3D1014,http://www.atlantaga.gov/index.aspx?page%3D1014,Client error: (404) Not Found
https://github.com/bbrewington/atlanta-salary-data,https://github.com/bbrewington/atlanta-salary-data,Success: (200) OK
http://apps.who.int/gho/data/node.home,http://apps.who.int/gho/data/node.home,Success: (200) OK
http://www.who.int/gho/en/,http://www.who.int/gho/en/,Success: (200) OK
https://www.cdc.gov/datastatistics/,https://www.cdc.gov/datastatistics/,Success: (200) OK
https://wonder.cdc.gov/,https://wonder.cdc.gov/,Success: (200) OK
https://www.cms.gov/Research-Statistics-Data-and-Systems/Research-Statistics-Data-and-Systems.html?redirect%3D/home/rsds.asp,https://www.cms.gov/Research-Statistics-Data-and-Systems/Research-Statistics-Data-and-Systems.html?redirect%3D/home/rsds.asp,Success: (200) OK
https://datawarehouse.hrsa.gov/,https://datawarehouse.hrsa.gov/,Success: (200) OK
https://www.ers.usda.gov/data-products/food-access-research-atlas/,https://www.ers.usda.gov/data-products/food-access-research-atlas/,Success: (200) OK
https://data.medicare.gov/Hospital-Compare/Hospital-General-Information/xubh-q36u,https://data.medicare.gov/Hospital-Compare/Hospital-General-Information/xubh-q36u,Success: (200) OK
http://dph.georgia.gov/environmental-health-inspections,https://dph.georgia.gov/environmental-health-inspections,Success: (200) OK
http://opendata.atlantaregional.com/datasets/hospital-community-facilities,http://opendata.atlantaregional.com/datasets/hospital-community-facilities,Success: (200) OK
http://opendata.atlantaregional.com/datasets/public-health-maternal-health,http://opendata.atlantaregional.com/datasets/public-health-maternal-health,Success: (200) OK
http://opendata.atlantaregional.com/datasets/food-access-usda,http://opendata.atlantaregional.com/datasets/food-access-usda,Success: (200) OK
http://www.dca.state.ga.us/housing/specialneeds/programs/homeless_count.asp,https://dca.ga.gov/wrong-url,Success: (200) OK
http://opendata.atlantaregional.com/datasets/HUD::revitalization-areas-by-block-group,http://opendata.atlantaregional.com/datasets/HUD::revitalization-areas-by-block-group,Success: (200) OK
http://opendata.atlantaregional.com/datasets/HUD::challenge-grantee-areas,http://opendata.atlantaregional.com/datasets/HUD::challenge-grantee-areas,Success: (200) OK
http://www.zillow.com/atlanta-ga/home-values/,https://www.zillow.com/captchaPerimeterX/?url=%2fatlanta-ga%2fhome-values%2f&uuid=83595890-7116-11e8-b8f9-6fd1689c55ec&vid=,Success: (200) OK
https://factfinder.census.gov/faces/nav/jsf/pages/community_facts.xhtml,https://factfinder.census.gov/faces/nav/jsf/pages/community_facts.xhtml,Success: (200) OK
http://www.georgiaplanning.com/documents/atlas/mapsindex.htm,http://www.georgiaplanning.com/documents/atlas/mapsindex.htm,Success: (200) OK
